,type,true_entropy,n_components,KNIFE_train_mean,KNIFE_val_mean,REMEDI_train_mean,REMEDI_val_mean,KNIFE_train_std,KNIFE_val_std,REMEDI_train_std,REMEDI_val_std
39,triangle_8d_varcomps,2.585186162801395,256,3.123166265230872,3.354788774411324,,,0.04618364868522803,0.044877909524871536,,
40,triangle_8d_varcomps,2.585186162801395,1024,2.637002875841401,3.387697508220717,,,0.03072592964023037,0.02734311085654539,,
41,triangle_8d_varcomps,2.585186162801395,2048,2.295874254741147,3.441104503526712,,,0.03845980004721412,0.03099015545390799,,
42,triangle_8d_varcomps_network,2.585186162801395,1,5.658341493034052,5.661178663037772,3.151570579336627,3.202512471936687,0.003135492430584692,0.003464921709939893,0.13192657000179944,0.14143958681518448
43,triangle_8d_varcomps_network,2.585186162801395,2,5.295060515713744,5.299881974933319,3.1102458082934743,3.171332723615319,0.003230112967930467,0.004478813800351128,0.10362660441006863,0.10387820367885574
44,triangle_8d_varcomps_network,2.585186162801395,4,5.004934090856759,5.009490362565498,3.0363156198815426,3.096834179561097,0.06390026208928347,0.06317708843925092,0.10846725458041655,0.10676291236300152
45,triangle_8d_varcomps_network,2.585186162801395,8,4.6282268835167475,4.633090213012407,2.989809164264736,3.0707904674526953,0.02924382184764599,0.03310824528617561,0.08728981505600261,0.07502663125351823
46,triangle_8d_varcomps_network,2.585186162801395,16,4.32717902692865,4.341262740516722,2.8829579796939995,3.0123627754688718,0.05469017689196798,0.054088817668142386,0.04950760175061281,0.044891993572661715
47,triangle_8d_varcomps_network,2.585186162801395,32,3.961952326169122,3.989429490682119,2.7667826596687215,2.9620515134301026,0.01818678096364375,0.021423040423788706,0.023823809874953954,0.025947960455727614
48,two-moons_2d,,8,0.4536374578888373,0.4526775470330714,0.2939557374554667,0.29726232930565055,0.022644086404384367,0.02142147542121498,0.003538702155903154,0.004301658244553669
